"","termin_wycieczki","wyzywienie","organizator","region","miejscowosc","ocena_wycieczki","hotel_nazwa","hotel_gwiazdki","id_wycieczki","liczba_rezerwacji","cena_za_osobe","data_aktualizacji"
"32",2019-05-09,"All Inclusive","Itaka","Teneryfa","Callao Salvaje",6.7,"Blue Sea Callao Garden (ex Vime)",3,"441947",154,2379,2018-12-23
"33",2019-03-09,"All Inclusive","Exim Tours","Teneryfa",NA,NA,"Gema Aguamarina Golf",4,"498582",NA,2489,2018-12-23
"34",2019-03-15,"All Inclusive","Itaka","Gran Canaria","Maspalomas",8.3,"Tabaiba Princess",4.5,"455745",93,3579,2018-12-23
"35",2019-05-07,"All Inclusive","Itaka","Gran Canaria","Playa del Ingles",8.2,"Barcelo Margaritas",4,"442146",151,3069,2018-12-23
"36",2019-03-21,"œniadania i obiadokolacje","Itaka","Wyc. objazdowe",NA,NA,"Zawsze Niech Bêdzie S³oñce",NA,"489251",NA,2889,2018-12-23
"37",2019-05-07,"œniadania i obiadokolacje","Itaka","Gran Canaria","San Agustin",9.2,"Dunas Don Gregory",4.5,"442096",90,2959,2018-12-23
"38",2019-05-04,"All Inclusive","Itaka","Lanzarote","Puerto del Carmen",8.6,"Lanzarote Village",4,"442099",38,3229,2018-12-23
"39",2019-03-22,"All Inclusive","Itaka","Gran Canaria","San Agustin",8.3,"Ifa Interclub Atlantic",3,"442079",327,2909,2018-12-23
"40",2019-03-30,"All Inclusive","Itaka","Lanzarote","Costa Teguise",8.4,"Los Zocos",4,"442039",169,2979,2018-12-23
"41",2019-05-10,"All Inclusive","Rainbow","Gran Canaria","Playa de Taurito",7.7,"Paradise Costa Taurito",4,"192457",93,2732,2018-12-23
"42",2019-05-21,"bez wy¿ywienia","Exim Tours","Costa Brava",NA,8,"H Top Pineda Palace",4,"510436",223,1289,2018-12-23
"43",2019-03-09,"œniadania","Exim Tours","Costa del Sol","Benalmadena Coast",7.8,"Medplaya Bali (Benalmadena)",3,"491785",86,1349,2018-12-23
"44",2019-03-09,"œniadania","Exim Tours","Costa del Sol","Marbella",4.3,"Senator Marbella",4,"491827",NA,1889,2018-12-23
"45",2019-03-28,"bez wy¿ywienia","Exim Tours","Costa Brava","Calella",7.9,"H-TOP Calella Palace & Spa",4,"510428",314,1029,2018-12-23
"46",2019-03-28,"œniadania i obiadokolacje","Itaka","Teneryfa","Puerto de la Cruz",8.7,"Puerto De La Cruz",4,"445320",153,2539,2018-12-23
"47",2019-03-14,"All Inclusive","Rainbow","Fuerteventura","Corralejo",9.1,"Bahia de Lobos",4.5,"283617",155,2571,2018-12-23
"48",2019-04-04,"bez wy¿ywienia","Exim Tours","Costa Brava","Calella",7.6,"H Top Olympic (Calella)",3,"510392",49,1089,2018-12-23
"49",2019-04-02,"œniadania","Exim Tours","Costa Blanca","Benidorm",8.1,"Gran Hotel Bali",4,"517546",345,1499,2018-12-23
"50",2019-05-18,"œniadania","Exim Tours","Teneryfa",NA,8.6,"Perla Tenerife",3,"509649",56,1629,2018-12-23
"51",2019-04-30,"œniadania i obiadokolacje","Neckermann","Lanzarote","Puerto del Carmen",8.2,"Beatriz Playa & Spa",4,"353239",247,2928,2018-12-23
"52",2019-05-14,"Wszystko w cenie","Neckermann","Lanzarote","Playa de los Pocillos",9.3,"Ole Olivina Lanzarote",4,"253033",304,4474,2018-12-23
